finding_id,severity,title,category,affected_control,recommendation,status,due_date
F001,Critical,MFA Not Enforced,Access Control,A.9.4.2,Implement MFA across all remote access and admin accounts within 30 days,Open,2025-05-31
F002,Critical,No PAM Solution,Access Control,A.9.2.3,Deploy CyberArk or equivalent PAM solution and enforce least privilege,Open,2025-05-31
F006,High,POPIA Gaps,Compliance,A.18.1.1,Implement DSAR process and appoint Information Officer under POPIA,In Progress,2025-05-31
F003,High,Patching Delays,Operations,A.12.6.1,Implement automated patching with 14-day SLA for critical patches,In Progress,2025-06-15
F005,High,IRP Not Tested,Incident Mgmt,A.16.1.1,Conduct quarterly tabletop exercises and annual full DR simulation,Open,2025-06-30
F004,High,No Third-Party Risk Process,Supplier Relations,A.15.1.2,Establish TPRA programme and conduct assessments on all Tier-1 vendors,Open,2025-09-30
F007,High,DR Plan Untested,Business Continuity,A.17.1.2,Schedule and execute full DR failover test and document gaps,Open,2025-10-31
F008,Medium,Weak Cipher Usage,Cryptography,A.10.1.1,Upgrade all systems to TLS 1.3 and disable deprecated protocols,In Progress,2025-07-31
F010,Medium,Annual-Only Security Training,HR Security,A.7.2.2,Implement monthly phishing simulations and quarterly training modules,Open,2025-07-31
F009,Medium,CCTV Coverage Gaps,Physical Security,A.11.1.1,Install additional cameras to eliminate blind spots and test coverage monthly,Open,2025-08-31
